index,area,municipality,residents,unemployment,immigrants,convicted,education,income,criterias,unemploymentCriteria,immigrantsCriteria,convictedCriteria,educationCriteria,incomeCriteria,ghetto,year,missingData
41,Marielyst,Gladsaxe,1021,22.5476973684211,7.6395690499510,1.2836185819071,25.6532066508314,79.2607854607490,0,0,0,0,0,0,0,2014,0
42,Torveparken/Torvegård,Gladsaxe,1207,19.9593195266272,9.2792046396023,0.8438818565401,29.9781181619256,82.1957800774550,0,0,0,0,0,0,0,2014,0
43,Kildeparken/Kildevænget,Gladsaxe,1408,22.5517241379310,10.2272727272727,1.7424564385890,24.2125984251968,79.0115778372199,0,0,0,0,0,0,0,2014,0
44,Høje Gladsaxe,Gladsaxe,4056,28.9764444444444,44.0088757396450,1.5691402419091,38.9445557782231,67.4716834092417,0,0,0,0,0,0,0,2014,0
45,Værebroparken,Gladsaxe,2882,27.8462791960891,47.7099236641221,2.1317365269461,48.7284659557014,62.4095503879575,0,0,0,0,0,0,0,2014,0
46,Glostrup Vestergård,Glostrup,1559,29.0669988925803,31.5586914688903,1.1409942950285,44.4983818770227,70.1040557264456,0,0,0,0,0,0,0,2014,0
47,Stadionkvarteret,Glostrup,1831,27.7346938775510,14.5275805570726,2.3069824669333,42.2876949740035,69.8063832038358,0,0,0,0,0,0,0,2014,0
48,Syd for Herlev Hovedgade,Herlev,2033,24.8304721030043,26.4633546483030,1.8234165067179,36.9595536959554,73.6360116503416,0,0,0,0,0,0,0,2014,0
49,Omkring Højbjergvej,Herlev,2276,20.7099737532808,12.9613356766257,0.8258064516129,30.2509907529723,82.1050426632557,0,0,0,0,0,0,0,2014,0
50,Hjortespring,Herlev,4336,27.3321714883235,26.3837638376384,1.9900497512438,39.7738951695786,73.2987888020862,0,0,0,0,0,0,0,2014,0
51,Solhusene/Banehegnet/Blokland,Albertslund,1110,33.8173076923077,30.7207207207207,1.8619934282585,50.9803921568627,63.9966972883707,1,0,0,0,1,0,0,2014,0
52,Albertslund Syd,Albertslund,4204,28.4987755102041,29.0437678401522,1.9434349818297,42.0588235294118,71.9246021675778,0,0,0,0,0,0,0,2014,0
53,Albertslund Vest,Albertslund,871,19.7300884955752,5.8688147295742,0.6997900629811,29.0625000000000,81.4740403951653,0,0,0,0,0,0,0,2014,0
54,Hedemarken,Albertslund,1743,40.7000000000000,52.7000000000000,1.9600000000000,57.9000000000000,59.3000000000000,3,1,1,0,1,0,1,2014,0
55,Albertslund Nord,Albertslund,1549,29.0366922234392,57.0045190445449,2.1904336164506,50.7692307692308,62.2151332443488,2,0,1,0,1,0,0,2014,0
56,Galgebakken,Albertslund,1511,21.9317226890756,8.0079417604236,1.8965517241379,22.3367697594502,86.1926903671555,0,0,0,0,0,0,0,2014,0
57,Sønderkærgården,Hvidovre,1964,28.8289806234204,12.3727087576375,2.2842639593909,33.9436619718310,73.2560881077946,0,0,0,0,0,0,0,2014,0
58,Bredalsparken,Hvidovre,2326,25.1515040352164,7.0507308684437,1.5412748171369,35.0119904076739,77.3117008416778,0,0,0,0,0,0,0,2014,0
59,Friheden,Hvidovre,2039,30.9403973509934,13.9283962726827,2.6527570789866,39.4101876675603,68.7491114617235,0,0,0,0,0,0,0,2014,0
60,Rosenhøj,Hvidovre,983,25.7530017152659,19.2268565615463,1.4221073044603,40.8521303258145,74.7404010675381,0,0,0,0,0,0,0,2014,0
61,Egevolden/Frydenhøjparken,Hvidovre,1445,25.9915764139591,26.5743944636678,1.4519906323185,40.4886561954625,73.3200932205663,0,0,0,0,0,0,0,2014,0
62,Avedøre Stationsby,Hvidovre,5409,25.6585872576177,35.7921981882048,1.9702602230483,42.3060437205315,71.5114725079944,0,0,0,0,0,0,0,2014,0
63,Parkvej,Høje-Taastrup,1057,36.4361873990307,35.3831598864711,1.9302615193026,51.5706806282722,63.6236327750368,1,0,0,0,1,0,0,2014,0
64,Blåkildegård,Høje-Taastrup,986,33.6102106969206,24.0365111561866,2.0350877192983,41.2500000000000,67.8295687524484,0,0,0,0,0,0,0,2014,0
65,Tåstrupgård,Høje-Taastrup,2549,35.0000000000000,65.8000000000000,2.5800000000000,68.6000000000000,53.2000000000000,3,0,1,0,1,1,1,2014,0
66,Charlotteager,Høje-Taastrup,1715,41.7000000000000,52.2000000000000,2.7200000000000,60.8000000000000,56.9000000000000,4,1,1,1,1,0,1,2014,0
67,Gadehavegård,Høje-Taastrup,2078,43.8000000000000,56.2000000000000,3.4800000000000,58.4000000000000,57.1000000000000,4,1,1,1,1,0,1,2014,0
68,Torstorp,Høje-Taastrup,2119,30.4587869362364,18.4049079754601,1.3376835236542,39.7923875432526,72.4202723829481,0,0,0,0,0,0,0,2014,0
69,Carlshøj,Lyngby-Taarbæk,577,19.4518272425249,11.0918544194107,0.4246284501062,28.9340101522843,78.9770834654511,0,0,0,0,0,0,0,2014,0
70,Sorgenfrivang,Lyngby-Taarbæk,1311,19.4037396121884,15.4080854309687,1.0496183206107,24.4705882352941,76.1344881241386,0,0,0,0,0,0,0,2014,0
71,Fortunen,Lyngby-Taarbæk,2760,23.9133024487095,20.4710144927536,0.8249312557287,26.8292682926829,78.0771502541735,0,0,0,0,0,0,0,2014,0
72,Lundtofteparken,Lyngby-Taarbæk,1253,27.4659863945578,34.0782122905028,1.7751479289941,35.8024691358025,72.2728759325079,0,0,0,0,0,0,0,2014,0
73,Bybjerget/Valhøjgården mv,Rødovre,2992,28.5608436992969,24.8997326203209,1.5502229772776,41.1867364746946,68.5727005209506,0,0,0,0,0,0,0,2014,0
74,Islevtoften/Islevvænget mv,Rødovre,1875,22.2986952469711,13.1733333333333,2.1823301654347,31.6285329744280,78.5686334503407,0,0,0,0,0,0,0,2014,0
75,Carlsro,Rødovre,1510,28.3038194444444,11.1920529801325,1.8131651556957,37.0848708487085,72.3984762444950,0,0,0,0,0,0,0,2014,0
76,Kærene - Rødovre,Rødovre,2132,30.0596330275229,30.9099437148218,1.8165836507471,39.2523364485981,65.8451771322192,0,0,0,0,0,0,0,2014,0
77,Vildtbanegård I & II,Ishøj,3103,30.3074168797954,35.0628424105704,1.4314471035563,48.9251297257228,66.9231619877484,0,0,0,0,0,0,0,2014,0
78,Vejleåparken,Ishøj,4965,30.1498756218905,57.5830815709970,2.4190184901988,58.2137161084529,61.5458788909468,2,0,1,0,1,0,0,2014,0
79,Gadekæret,Ishøj,1342,23.0483870967742,9.4634873323398,1.7377567140600,37.5634517766497,77.7799258791477,0,0,0,0,0,0,0,2014,0
80,Postparken/Televang,Ishøj,1024,20.7500000000000,11.0351562500000,0.8505467800729,35.7682619647355,76.3757192742501,0,0,0,0,0,0,0,2014,0
81,Alleen/Kastruplundgade-området,Tårnby,2195,24.9973919523100,9.6627164995442,1.6739846322722,34.8920863309352,74.7604805481320,0,0,0,0,0,0,0,2014,0
82,Tårnbyparken I-II,Tårnby,1400,20.9443053817272,11.4285714285714,1.4571948998179,35.1669941060904,79.0291923421455,0,0,0,0,0,0,0,2014,0
83,Skottegården,Tårnby,1323,26.7708877284595,11.2622826908541,1.6848816029144,36.5111561866126,73.7876241843554,0,0,0,0,0,0,0,2014,0
84,Allegården,Tårnby,1964,25.3041700735895,12.8309572301426,1.4868712432774,38.1077529566360,74.2825384323480,0,0,0,0,0,0,0,2014,0
85,Farum Midtpunkt,Furesø,2793,27.3713578889500,26.1009667024705,1.8514007308161,39.8718975180144,69.2019599429564,0,0,0,0,0,0,0,2014,0
86,Uglevang/Ørnevang,Allerød,1171,25.6737804878049,26.6438941076003,0.5411906193626,30.2428256070640,73.8848146117440,0,0,0,0,0,0,0,2014,0
87,Egedalsvænge mv,Fredensborg,2676,30.1847305389222,38.9387144992526,1.7272492910544,43.8842203548086,66.5361608177020,0,0,0,0,0,0,0,2014,0
88,Niverød,Fredensborg,1196,28.5419847328244,15.5518394648829,0.7062978222484,34.2494714587738,76.6835930287679,0,0,0,0,0,0,0,2014,0
89,Nivåhøj,Fredensborg,1489,41.0000000000000,46.1000000000000,2.5800000000000,56.6000000000000,57.6000000000000,2,1,0,0,1,0,0,2014,0
90,Kingosvej/Bllichersvej mv,Helsingør,1926,31.4054428044280,18.9906347554631,1.0745685444481,40.2962962962963,67.0754111156058,0,0,0,0,0,0,0,2014,0
91,Helsingør Syd,Helsingør,5766,37.7790532879819,32.8477280610475,2.3848878394333,48.9464442493415,62.2644608851192,0,0,0,0,0,0,0,2014,0
92,Kongevænget,Helsingør,1647,36.1996142719383,33.5154826958106,1.6462642465175,42.7960057061341,64.3763884898562,0,0,0,0,0,0,0,2014,0
93,Ådalsparken,Hørsholm,1525,27.5012224938875,20.5901639344262,1.0836584308626,30.5605786618445,74.5015181194239,0,0,0,0,0,0,0,2014,0
94,Skoleparken mv,Rudersdal,1043,23.8919753086420,12.6923076923077,0.6794317479926,27.1398747390397,77.8231593949304,0,0,0,0,0,0,0,2014,0
95,Nærumvænge/Nærumhuse,Rudersdal,972,11.9789272030651,6.6047471620227,0.2773925104022,23.6503856041131,89.8459843514760,0,0,0,0,0,0,0,2014,0
96,Gersagerparken,Greve,2132,34.1321888412017,30.5347091932458,1.4351145038168,41.8791946308725,74.2222396396150,0,0,0,0,0,0,0,2014,0
97,Askerød,Greve,1473,31.4146968139774,51.6632722335370,2.6450116009281,50.9063444108761,69.1920660274067,2,0,1,0,1,0,0,2014,0
98,Tjur- og Tejstgården,Greve,1008,19.9093023255814,4.4642857142857,1.8264840182648,33.6470588235294,88.5424903180256,0,0,0,0,0,0,0,2014,0
99,Bøgehegnet/Greveflex mv,Greve,1777,26.8753339269813,11.7812852311161,1.3451191391238,31.5159574468085,83.0131673723412,0,0,0,0,0,0,0,2014,0
100,Ellemarken,Køge,2061,34.9406130268199,32.9451722464823,1.9161676646707,50.9925558312655,69.1630474284958,1,0,0,0,1,0,0,2014,0
101,Karlemoseparken,Køge,1466,44.2000000000000,51.0000000000000,2.4000000000000,53.5000000000000,63.2000000000000,3,1,1,0,1,0,1,2014,0
102,Hastrupparken/Hastrupvænget mv,Køge,1909,39.3700716845878,19.1802417235943,2.1539548022599,42.7041499330656,71.7112919531223,0,0,0,0,0,0,0,2014,0
103,Holmebækhuse/Nonnebanken/Præstebanken,Køge,972,34.1653963414634,4.8453608247423,1.4844804318489,46.5393794749403,73.9618915547904,0,0,0,0,0,0,0,2014,0
104,Maglehøj,Halsnæs,494,46.7149532710280,38.2591093117409,4.2131350681537,54.9222797927461,54.5407955887644,4,1,0,1,1,1,0,2014,0
105,Fælledvej-området,Roskilde,1383,36.7214452214452,26.3959390862944,1.5744489428700,37.7425044091711,74.3083149367032,0,0,0,0,0,0,0,2014,0
106,Ringparken/Vognmandsparken/Bakkegården,Roskilde,1710,34.1334244080146,25.7894736842105,1.9300801165331,39.5251396648045,73.0339928705005,0,0,0,0,0,0,0,2014,0
107,Rønnebærparken/Æblehaven,Roskilde,1513,43.2000000000000,45.2000000000000,2.9600000000000,52.6000000000000,62.4000000000000,3,1,0,1,1,0,1,2014,0
108,Bøgeholmen/Egeholmen/Birkeholmen,Solrød,989,34.9573578595318,17.0879676440849,2.0698576972833,40.3553299492386,73.5051735343928,0,0,0,0,0,0,0,2014,0
109,Agervang,Holbæk,1453,51.2000000000000,56.5000000000000,3.4800000000000,61.1000000000000,53.6000000000000,5,1,1,1,1,1,1,2014,0
110,Ladegårdsparken,Holbæk,1089,44.0000000000000,33.6000000000000,2.6600000000000,56.5000000000000,60.4000000000000,2,1,0,0,1,0,0,2014,0
111,Knudskovparken,Holbæk,1348,33.7232243517475,6.2314540059347,1.3223894208846,35.0943396226415,74.6751456619506,0,0,0,0,0,0,0,2014,0
112,Sønderpark,Ringsted,962,43.6647634584013,63.3056133056133,2.1978021978022,56.5552699228792,59.6765860032234,3,1,1,0,1,0,0,2014,0
113,"Ringparken, Slagelse i alt",Slagelse,1878,47.4000000000000,56.2000000000000,3.4300000000000,56.3000000000000,54.4000000000000,5,1,1,1,1,1,1,2014,0
114,Sydbyen,Slagelse,722,50.0536105032823,38.0886426592798,2.9281277728483,55.8441558441558,55.8998607825329,3,1,0,1,1,0,0,2014,0
115,Motalavej,Slagelse,1539,50.3000000000000,41.8000000000000,3.4900000000000,61.9000000000000,53.6000000000000,4,1,0,1,1,1,1,2014,0
116,Birkevænget/Nørrevænget,Lolland,845,59.7830423940150,34.7928994082840,1.1423550087874,55.0185873605948,55.5738958362942,2,1,0,0,1,0,0,2014,0
117,Vandtårnsparken mv,Næstved,1001,41.7548076923077,24.2484969939880,2.2954679223072,49.8673740053050,60.9573112623656,1,1,0,0,0,0,0,2014,0
118,Pilegården mv,Næstved,1107,39.1696574225122,10.5167724388033,0.2376708259061,38.8429752066116,67.6309379304428,0,0,0,0,0,0,0,2014,0
119,Birkegården,Næstved,804,45.5371485943775,13.9303482587065,1.7793594306050,51.8404907975460,65.6444579975416,2,1,0,0,1,0,0,2014,0
120,Lindholm,Guldborgsund,1555,47.2206221198157,38.7781350482315,1.2927054478301,50.5415162454874,56.5581544408208,2,1,0,0,1,0,0,2014,0
121,Mosegårdsparken mv,Odense,1282,30.5522088353414,13.8497652582160,0.9502262443439,37.2916666666667,76.8277118936344,0,0,0,0,0,0,0,2014,0
122,Højstrupvej-kvarteret,Odense,1539,38.8161375661376,26.6406757634828,3.1703590527120,44.7325769854133,63.0310314126958,1,0,0,1,0,0,0,2014,0
123,Solbakken mv,Odense,1269,47.6000000000000,45.9000000000000,2.5900000000000,50.9000000000000,59.2000000000000,2,1,0,0,1,0,0,2014,0
124,Højemarksvej-kvarteret,Odense,971,40.5388127853881,24.0206185567010,2.9373368146214,43.1937172774869,64.2871933284408,2,1,0,1,0,0,0,2014,0
125,Jacob Hansens Vej,Odense,959,43.1616084977238,16.6840458811262,1.6260162601626,45.8015267175573,65.9949301759960,1,1,0,0,0,0,0,2014,0
126,Ejerslykke,Odense,1194,43.9005270092227,43.8860971524288,1.7250392054365,48.7528344671202,63.1688713285048,1,1,0,0,0,0,0,2014,0
127,Korsløkkeparken Øst,Odense,2191,43.6418786692759,59.6531264262894,2.2134627046695,45.5667789001122,59.9158786298451,2,1,1,0,0,0,0,2014,0
128,Stærmosegårdsparken/Rødegårdsparken,Odense,867,43.2078825347759,41.8685121107266,4.3574593796160,50.0000000000000,61.0708557741082,2,1,0,1,0,0,0,2014,0
129,Vollsmose,Odense,9098,54.0000000000000,67.1000000000000,3.2300000000000,57.5000000000000,54.4000000000000,5,1,1,1,1,1,1,2014,0
132,Dianavænget/Heliosvænget,Odense,912,49.3368320610687,45.7236842105263,1.6088060965284,47.8787878787879,62.0667258030255,1,1,0,0,0,0,0,2014,0
133,Jægermarken mv,Svendborg,887,49.8968386023295,30.1014656144307,2.6804123711340,52.6737967914438,61.3311523825684,2,1,0,0,1,0,0,2014,0
134,Byparken/Skovparken,Svendborg,1047,59.9000000000000,50.0000000000000,3.2500000000000,61.6000000000000,53.7000000000000,4,1,0,1,1,1,1,2014,0
135,Varbergparken,Haderslev,482,57.2790262172285,75.3112033195021,2.0618556701031,49.7297297297297,56.1503742932206,2,1,1,0,0,0,0,2014,0
136,Kløvermarken/Hvedemarken mv,Sønderborg,934,42.4695723684211,31.6916488222698,1.6700066800267,44.4148936170213,65.2341032261020,1,1,0,0,0,0,0,2014,0
137,Nørager/Søstjernevej m.fl,Sønderborg,1308,50.0000000000000,59.5000000000000,2.5400000000000,47.6000000000000,59.8000000000000,2,1,1,0,0,0,0,2014,0
138,Parkvænget mv,Esbjerg,1118,31.4273972602740,4.3010752688172,1.4191106906339,41.1111111111111,78.3683677055685,0,0,0,0,0,0,0,2014,0
139,Spangsbjergparken,Esbjerg,1160,28.5772413793103,13.4482758620690,2.0108695652174,38.7596899224806,73.8776151319872,0,0,0,0,0,0,0,2014,0
140,Præstebakken/Syrenparken,Esbjerg,1462,43.3000000000000,34.7000000000000,2.9700000000000,59.7000000000000,63.1000000000000,3,1,0,1,1,0,1,2014,0
141,Stengårdsvej,Esbjerg,1846,46.9000000000000,63.8000000000000,2.5000000000000,60.4000000000000,57.4000000000000,3,1,1,0,1,0,1,2014,0
142,Hedelundgårdparken,Esbjerg,2346,47.4000000000000,25.6000000000000,2.8600000000000,57.4000000000000,63.2000000000000,3,1,0,1,1,0,1,2014,0
143,Ådalshaven/Åhaven,Esbjerg,1297,35.6392694063927,6.0185185185185,1.8207954000958,43.4065934065934,76.4212509195235,0,0,0,0,0,0,0,2014,0
144,Høje Kolstrup,Aabenraa,1375,48.7751288659794,31.3367421475530,1.9811788013868,52.4461839530333,64.1052940784266,2,1,0,0,1,0,0,2014,0
145,Korskærparken,Fredericia,1749,48.4000000000000,49.1000000000000,3.3600000000000,51.2000000000000,62.6000000000000,3,1,0,1,1,0,1,2014,0
146,Søndermarksvej mv,Fredericia,1120,47.1000000000000,25.2000000000000,2.8300000000000,58.2000000000000,67.3000000000000,3,1,0,1,1,0,1,2014,0
147,Sønderbro,Horsens,1455,45.0227518959913,36.0137457044674,1.4744145706852,58.7939698492462,61.3831195092954,2,1,0,0,1,0,0,2014,0
148,Sundparken,Horsens,1523,54.5000000000000,64.5000000000000,1.5700000000000,60.2000000000000,56.1000000000000,3,1,1,0,1,0,1,2014,0
149,Munkebo,Kolding,1462,48.1000000000000,59.8000000000000,1.5800000000000,53.0000000000000,61.7000000000000,3,1,1,0,1,0,1,2014,0
150,Skovvejen/Skovparken,Kolding,2414,45.6000000000000,59.9000000000000,2.5200000000000,54.8000000000000,57.8000000000000,3,1,1,0,1,0,1,2014,0
151,Finlandsparken,Vejle,1616,45.4000000000000,69.1000000000000,2.9100000000000,55.8000000000000,59.9000000000000,4,1,1,1,1,0,1,2014,0
152,Løget By,Vejle,1591,51.0000000000000,43.7000000000000,2.6500000000000,58.9000000000000,58.9000000000000,2,1,0,0,1,0,0,2014,0
153,Østbyparken,Vejle,1546,29.5670611439842,15.0064683053040,0.7191657677095,40.0656814449918,76.4525561788515,0,0,0,0,0,0,0,2014,0
154,Møllevangen mv,Vejle,1245,35.5334507042254,19.9196787148594,2.6842362127867,49.4360902255639,71.4743612983692,0,0,0,0,0,0,0,2014,0
155,Vestbyen,Vejle,1716,39.2204658901830,24.0093240093240,1.8133860863831,47.0125786163522,67.9186057631747,0,0,0,0,0,0,0,2014,0
156,Gullestrup,Herning,870,54.9246704331450,31.0344827586207,3.9349871685201,55.3977272727273,55.4629465772718,3,1,0,1,1,0,0,2014,0
157,Sønderager/Brændegårdsparken,Herning,1350,40.3039950062422,36.8888888888889,1.4460511679644,49.5934959349593,65.3706647002945,1,1,0,0,0,0,0,2014,0
158,Porshøj/Fruehøj/Fredhøj,Herning,1811,32.8757911392405,25.7868580894533,1.3925729442971,44.0601503759398,67.2214358489202,0,0,0,0,0,0,0,2014,0
159,Holtbjerg,Herning,1578,35.5522971652004,37.1356147021546,1.5672616456247,51.1254019292604,68.8190171073627,1,0,0,0,1,0,0,2014,0
160,Trekanten,Holstebro,2903,41.5756676557863,34.1959972394755,1.9259629814908,50.5802707930368,61.7096897799447,2,1,0,0,1,0,0,2014,0
161,Hermann Stilings Vej m.fl,Randers,554,52.1783707865169,10.5646630236794,2.5000000000000,53.9473684210526,61.9973823448795,2,1,0,0,1,0,0,2014,0
162,Glarbjergvej-området,Randers,1449,49.9000000000000,27.5000000000000,2.4300000000000,52.6000000000000,62.0000000000000,2,1,0,0,1,0,0,2014,0
163,Gammel Jennumparken,Randers,1344,55.9858108108108,42.0386904761905,2.1713615023474,59.3561368209256,58.9463673489419,2,1,0,0,1,0,0,2014,0
164,Arendalsvej,Silkeborg,1066,43.9700854700855,17.6857949200376,2.0706455542022,48.8839285714286,64.4971703352384,1,1,0,0,0,0,0,2014,0
165,Resedavej/Nørrevang II,Silkeborg,1730,42.6467847157502,44.5086705202312,2.4390243902439,54.0716612377850,60.8797275669341,2,1,0,0,1,0,0,2014,0
166,Højvangen,Skanderborg,1204,43.5000000000000,27.5000000000000,3.0600000000000,50.3000000000000,64.9000000000000,3,1,0,1,1,0,1,2014,0
167,Håndværkerparken,Aarhus,1260,38.7419175027871,3.9294306335205,1.4222658165768,32.1858864027539,75.4852132296846,0,0,0,0,0,0,0,2014,0
168,Skådeparken/Nøddeskrænten m.fl,Aarhus,1199,33.9988207547170,8.1734778982485,2.2959183673469,29.7741273100616,75.1138210821654,0,0,0,0,0,0,0,2014,0
169,Langenæs/Kirkedammen,Aarhus,1396,34.4616265750286,19.0100430416069,0.7112970711297,33.2096474953618,72.3761442189224,0,0,0,0,0,0,0,2014,0
170,Præstevangen,Aarhus,1221,34.4848866498741,23.3415233415233,1.7885323513940,40.0452488687783,69.2301970806944,0,0,0,0,0,0,0,2014,0
171,Rosenhøj mv,Aarhus,1832,34.9729972997300,48.9082969432314,1.9424460431655,46.5000000000000,66.5917568677325,0,0,0,0,0,0,0,2014,0
172,Møllevangsområdet,Aarhus,1930,30.2315891472868,16.5803108808290,1.8229166666667,30.4054054054054,71.3904833101224,0,0,0,0,0,0,0,2014,0
173,Fuglesangs Alle/Charlottehøj,Aarhus,1297,32.7924944812362,21.1256746337702,1.6423357664234,33.8056680161943,73.5216094811095,0,0,0,0,0,0,0,2014,0
174,Frydenlund,Aarhus,2436,38.5555555555556,46.8390804597701,1.4139173828667,42.5028184892897,65.8259353307835,0,0,0,0,0,0,0,2014,0
175,Bispehaven,Aarhus,2252,46.5000000000000,67.0000000000000,2.8900000000000,47.7000000000000,58.6000000000000,3,1,1,1,0,0,1,2014,0
